Symbol,Name,PricetoBookValue,Gross Profit(Quart),Return on Equity (TTM),Fixed Asset Turnover(Quartl),Earning Yield(forward 1y),Free Cash Flow Yield(TTM),30 D Avg Daily Volume,Momentum Score,Market Cap,Total Returns Price,3M Price Returns (Daily)
AMDWF,Amada Holdings,0.8795,22054.0,0.0909,0.4138,19.07,0.0149,904512.0,6.0,32650.0,8.93,0.0522
AME,AMETEK,4.304,36486.0,0.1558,2.183,3.404,0.0446,9191067.0,8.0,15460.0,66.99,0.0951
AMED,Amedisys,3.63,15906.0,0.0866,10.66,2.06,0.0476,2679831.0,5.0,17860.0,52.75,-0.1261
AMGN,Amgen,4.274,47860.0,0.2669,1.169,5.966,0.0704,2619.0,5.0,135590.0,185.82,0.0821
AMH,American Homes 4 Rent,1.198,15105.0,0.0083,0.0312,0.136,-0.0291,2057.0,4.0,55970.0,21.5,-0.0354
AMKBY,A. P. Moller Maersk,1.199,14890.0,0.1062,0.2313,-6.313,0.0176,5441863.0,8.0,37790.0,9.11,-0.0962
AMKR,Amkor Technology,1.669,17224.0,0.194,0.3807,10.57,0.036,1069.0,4.0,25120.0,10.5,0.0791
AMLLF,AEON Mall,1.006,16683.0,0.1157,0.0923,11.88,-0.3134,904512.0,6.0,31570.0,13.88,0.0522
AMN,AMN Healthcare Services,4.248,16101.0,0.2574,7.654,5.261,0.0569,5377232.0,5.0,21600.0,45.05,0.211
AMNB,American National,1.747,14890.0,0.0806,0.6648,6.106,0.0479,1079103.0,9.0,36171.0,41.85,0.1326
AMOT,Allied Motion,3.103,1788.0,0.1183,1.602,3.7,0.0598,2132257.0,7.0,25294.0,26.76,-0.0034
AMP,Ameriprise Financial,3.622,14890.0,0.2161,1.109,5.802,0.0436,9947136.0,8.0,22640.0,150.99,0.1691
AMPH,Amphastar Pharmaceuticals,2.625,2675.0,0.0124,0.4086,0.3696,0.0181,1913361.0,3.0,87495.0,18.94,0.0575
AMRC,Ameresco,1.179,3541.0,0.0481,36.43,3.949,-0.4018,5958063.0,9.0,35739.0,7.85,0.1135
AMRK,A-Mark Precious Metals,1.696,6079.0,0.106,198.72,5.96,-0.1009,286079.0,5.0,11799.0,16.78,0.009
AMSF,AMERISAFE,2.385,14890.0,0.1369,14.07,5.75,0.0851,873885.0,3.0,11480.0,59.65,0.0836
AMSWA,American Software,3.365,1522.0,0.1591,13.04,4.399,0.0388,8700977.0,6.0,35138.0,11.82,0.1832
AMT,American Tower,9.21,11450.0,0.1752,0.1551,1.79,0.0357,2127.0,8.0,59700.0,139.11,0.0575
AMTD,TD Ameritrade Holding,4.674,14890.0,0.1626,1.587,3.606,0.036,2116.0,8.0,25520.0,48.32,0.0972
AMWD,American Woodmark,4.174,5849.0,0.215,2.479,4.579,0.0271,1131066.0,4.0,15540.0,95.65,-0.0088
AMX,America Movil,5.894,70120.0,0.2119,0.3892,4.035,0.1371,2207.0,9.0,57530.0,17.5,0.1013
AN,AutoNation,1.911,82610.0,0.1757,1.806,7.206,0.0478,1206.0,4.0,47740.0,47.53,0.1573
